x,y,z
6.0,11715.5,0.009238885521329988
7.0,12555.5,0.008924481504080891
8.0,11752.0,0.00922452704756137
9.0,9323.0,0.010356718161145367
10.0,9576.5,0.010218722215391945
11.0,8416.0,0.010900518004923683
13.0,6979.5,0.011969826190109022
14.0,6089.5,0.012814721807342892
16.0,5115.0,0.01398225379936557
17.0,4653.5,0.01465919563828716
19.0,3734.0,0.01636488068286255
20.0,3565.0,0.01674828077254214
22.0,3044.5,0.018123497440281577
23.0,2779.5,0.018967786858203967
24.0,2068.0,0.021989974856677124
25.0,2511.0,0.019956144669641657
26.0,2357.0,0.0205977702060897
27.0,1742.0,0.02395939925913801
28.0,2047.5,0.022099784804393195
29.0,1932.0,0.022750787759664503
30.0,1574.0,0.025205634593236815
